"location_num","location_name","location_status","operator_num","operator_name","operator_type","co_owned_flag","projected_open_date","open_date","closed_date","location_category","concept_type","location_type","location_subtype","prototype","location_format","square_footage","prototype_square_footage","has_drive_thru","drive_thru_lanes","drive_thru_pickup_windows","kitchen_layout","parking_spaces","parking_spaces_handicap","has_dining_room","seating_total_original","address_line_1","address_line_2","address_line_3","city","county","state","country_name","country_code","zip_code","gps_latitude","gps_longitude","phone_number","price_group","distribution_center","dc_code","distributor","region","service_team_code","service_team","business_consultant","operations_lead","area_director","operator_team_code","operator_team","market_code","market","last_updated","filepath","insert_timestamp","load_date"
"80698",Miami Central,OPEN,"10913",Mauricio Leon,OPR,N,2020-03-30 00:00:00.000,2020-12-17 00:00:00.000,,LIC,LIC,OFFC,SAT,,,0.00,0.00,N,0,,,,0,N,,"550 NW 1st Ave Ste 100",Suite 100,,Miami,Miami-Dade,FL,United States,US,"33136-4130","25.779124",-80.195568,"786/359-4813","28",QCD-Miami FL,MIA,Quality Custom Distribution,Southeast Region,E4,SE Licensing Team,,,,LI05,Licensing Scott SE,"528","Miami-Ft. Lauderdale, FL",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"04500",Terminated 22 West 34th Street In-Line,NEVER OPENED,,,,,,,,Core,CFA,MALL,MALL,,In-Line,0.00,0.00,N,0,,,0,0,N,0,"22 W 34th St",,,New York,New York,NY,United States,US,"10001-3010","40.749048",-73.986288,,,,,,,,,,,,,,"501","New York, NY",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"03937",Foundry Row FSU,OPEN,"01392",Paul Xiong,OPR,N,2017-08-31 00:00:00.000,2017-08-31 00:00:00.000,,Core,CFA,FSU,FSU,,Stand Alone,4995.00,4986.00,Y,2,1,Centerline,23,2,N,128,"10170 Reisterstown Rd ",,,Owings Mills,Baltimore,MD,United States,US,"21117-3815","39.412643",-76.771193,"410/363-3014","26",FA-Jessup MD,JES,Food Authority South,Northeast Region,N1,NE Region Team #1,Tyler Cape,Tyler Cape,Demetrius Ingram,BMNW,Baltimore Northwest,"512","Baltimore, MD",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"00818",Lanier Crossing FSU,OPEN,"00997",Mike Ridzon,OPR,N,1990-05-24 00:00:00.000,1990-05-24 00:00:00.000,,Core,CFA,FSU,FSU,,Stand Alone,4129.00,0.00,Y,2,1,Galley,62,0,N,0,"653 Atlanta Rd",,,Cumming,Forsyth,GA,United States,US,"30040-2703","34.187686",-84.143119,"770/781-5256","18",CFA Supply-Cartersville GA DC 2,CAR2,CFA Supply,Southeast Region,E1,SE Region Team #1,Ben Collier,Ben Collier,Lauren Miller,ATL1,ATL-Forsyth/Fulton,"524","Atlanta, GA",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"01674",Boone FSU,OPEN,"13264",Terese Fogleman,OPR,N,2004-09-02 00:00:00.000,2004-09-02 00:00:00.000,,Core,CFA,FSU,FSU,,Stand Alone,4968.00,0.00,Y,2,1,Midline,60,0,N,124,"2082 Blowing Rock Rd",,,Boone,Watauga,NC,United States,US,"28607-6152","36.196068",-81.65461,"828/264-4660","18",QCD-Pineville NC,PIN,Quality Custom Distribution,Atlantic Region,A3,AT Region Team #3,Val Mack,Val Mack,Eren Page,WNCR,Western N. Carolina,"517","Charlotte, NC",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"02925",Hoffman Estates FSU-Terminated,NEVER OPENED,,,,,,,,Core,CFA,FSU,FSU,,Stand Alone,,,N,,,,,,N,,NWC of Rt. 59 and Columbine Blvd.,,,Hoffman Estates,Cook,IL,United States,US,"60192","42.07348",-88.19035,,,,,,Midwest Region,M2,MW Region Team #2,Chris Tyndal,Chris Tyndal,Dericus Harvey,CHCC,Chicago Central,"602","Chicago, IL",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"00984",Winchester Road FSU,OPEN,"01249",David Cantey,OPR,N,1998-10-15 00:00:00.000,1998-10-15 00:00:00.000,,Core,CFA,FSU,FSU,,Stand Alone,4268.00,0.00,Y,2,1,Centerline,50,0,N,0,"7072 Winchester Rd",,,Memphis,Shelby,TN,United States,US,"38125-2013","35.04941774",-89.82745038,"901/737-1778","23",McLane- Memphis TN,MEM,MCLANE COMPANY INC,Atlantic Region,A1,AT Region Team #1,Jack Kerr,Jack Kerr,Amy Millard,MEM2,Memphis 2,"640","Memphis, TN",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"00551",County Line Road FSU,OPEN,"00301",Chris Rosson,OPR,N,1996-09-27 00:00:00.000,1996-11-21 00:00:00.000,,Core,CFA,FSU,FSU,,Stand Alone,4000.00,0.00,Y,2,1,Centerline,,3,N,,"1065 E County Line Rd",,,Jackson,Hinds,MS,United States,US,"39211-1851","32.39894",-90.13692,"601/991-3265","24",MB-Baton Rouge LA,BTR,MARTIN BROWER,Southeast Region,E3,SE Region Team #3,Scott PicKell,Scott PicKell,Amy Rich,JKSN,Jackson,"718","Jackson, MS",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"02192",Fallston FSU - Terminated,NEVER OPENED,,,,,,,,Core,CFA,FSU,FSU,,Stand Alone,,,N,,,,,,N,,"1916 Belair Road",,,Fallston,,MD,United States,US,,,,,,,,,,,,,,,,,,,2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"04453",Terminated Ellicott City FSU,NEVER OPENED,,,,,,,,Core,CFA,FSU,FSU,,Stand Alone,0.00,0.00,N,0,,,0,0,N,0,"10120 Baltimore National Pike",,,Ellicott City,Howard,MD,United States,US,"21042-3614","39.279985",-76.860631,,,FA-Jessup MD,JES,Food Authority South,,,,,,,,,"512","Baltimore, MD",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
